bsecode,close,name,nsecode,per_chg,volume
533278,184.55,Coal India Limited,COALINDIA,7.48,28092052.0
500400,241.15,Tata Power Company Limited,TATAPOWER,6.42,34735919.0
500312,163.15,Oil & Natural Gas Corporation Limited,ONGC,6.29,17843200.0
506395,942.75,Coromandel International Limited,COROMANDEL,5.98,1475489.0
532286,483.8,Jindal Steel & Power Limited,JINDALSTEL,4.65,6556427.0
541154,1671.65,Hindustan Aeronautics Ltd,HAL,4.45,1028903.0
500325,2529.15,Reliance Industries Limited,RELIANCE,4.2,7638666.0
500875,264.7,Itc Limited,ITC,4.17,17797974.0
503806,2334.3,Srf Limited,SRF,4.05,807853.0
511243,659.7,Cholamandalam Investment And Finance Company Limited,CHOLAFIN,3.78,1577987.0
512599,2184.85,Adani Enterprises Limited,ADANIENT,3.75,1061085.0
532343,676.15,Tvs Motor Company Limited,TVSMOTOR,3.47,2524634.0
505200,2706.7,Eicher Motors Limited,EICHERMOT,3.39,1462487.0
532720,175.15,Mahindra & Mahindra Financial Services Limited,M&MFIN,3.15,4802844.0
535755,280.05,Aditya Birla Fashion And Retail Limited,ABFRL,3.07,3285418.0
