nsecode,name,bsecode,per_chg,close,volume
PEL,Piramal Enterprises Limited,500302,13.32,950.15,19224399
SHRIRAMFIN,Shriram Finance Ltd,511218,11.2,1734.35,13465423
LUPIN,Lupin Limited,500257,5.44,875.05,5768804
MFSL,Max Financial Services Limited,500271,5.08,738.9,4547225
EXIDEIND,Exide Industries Limited,500086,4.52,230.3,13046366
MOTHERSON,Motherson Sumi Systems Limited,517334,4.44,85.85,25851445
INDIACEM,The India Cements Limited,530005,4.09,231.5,4978577
LICHSGFIN,Lic Housing Finance Limited,500253,3.88,405.7,5015480
POWERGRID,Power Grid Corporation Of India Limited,532898,3.8,258.2,23379070
MUTHOOTFIN,Muthoot Finance Limited,533398,3.35,1231.1,1586212
IGL,Indraprastha Gas Limited,532514,3.03,480.4,2770163
