nsecode,name,bsecode,close,per_chg,volume
MOTHERSON,Samvardhana Motherson International Ltd,517334,127.41,5.96,22449919
ASHOKLEY,Ashok Leyland Limited,500477,167.8,4.71,22189983
NUVAMA,Nuvama Wealth Management Ltd,543988,1413.6,4.63,683716
MOTILALOFS,Motilal Oswal Financial Services Limited,532892,881.7,4.5,2370814
LICHSGFIN,Lic Housing Finance Limited,500253,582.15,4.3,4102921
LUPIN,Lupin Limited,500257,2442.9,4.25,2886186
SHRIRAMFIN,Shriram Finance Ltd,511218,1004.1,4.12,5858946
INDUSINDBK,Indusind Bank Limited,532187,946.75,3.96,2901974
NAM-INDIA,Nippon Life India Asset Management Ltd,540767,1094.2,3.93,1616228
AUROPHARMA,Aurobindo Pharma Limited,524804,1484.0,3.91,2420846
HINDZINC,Hindustan Zinc Limited,500188,634.6,3.82,10151710
SAMMAANCAP,Sammaan Capital Ltd,535789,149.78,3.73,26250965
MFSL,Max Financial Services Limited,500271,1652.8,3.55,612555
SBIN,State Bank Of India Ltd,500112,1096.0,3.41,14384779
LTF,L&T Finance Ltd,533519,300.3,3.39,8849214
BSE,BSE (Bombay stock exchange) Ltd,20,3852.1,3.38,3772261
BIOCON,Biocon Limited,532523,380.6,3.35,6230919
CHOLAFIN,Cholamandalam Investment And Finance Company Limited,511243,1711.9,3.29,2751781
ADANIENT,Adani Enterprises Limited,512599,2540.3,3.18,3169133
CROMPTON,Crompton Greaves Consumer Electricals Limited,539876,284.05,3.1,8247404
UNIONBANK,Union Bank Of India Ltd,532477,168.75,3.06,15731990
